Sheet,Sector,Metric,Category,Total Growth 2000–2023,Year,Value
Electricity1,Electricity,Energy Use,Activity,,2000,
Electricity1,Electricity,Energy Use,Activity,,2001,
Electricity1,Electricity,Energy Use,Activity,,2002,
Electricity1,Electricity,Energy Use,Activity,,2003,
Electricity1,Electricity,Energy Use,Activity,,2004,
Electricity1,Electricity,Energy Use,Activity,,2005,
Electricity1,Electricity,Energy Use,Activity,,2006,
Electricity1,Electricity,Energy Use,Activity,,2007,
Electricity1,Electricity,Energy Use,Activity,,2008,
Electricity1,Electricity,Energy Use,Activity,,2009,
Electricity1,Electricity,Energy Use,Activity,,2010,
Electricity1,Electricity,Energy Use,Activity,,2011,
Electricity1,Electricity,Energy Use,Activity,,2012,
Electricity1,Electricity,Energy Use,Activity,,2013,
Electricity1,Electricity,Energy Use,Activity,,2014,
Electricity1,Electricity,Energy Use,Activity,,2015,
Electricity1,Electricity,Energy Use,Activity,,2016,
Electricity1,Electricity,Energy Use,Activity,,2017,
Electricity1,Electricity,Energy Use,Activity,,2018,
Electricity1,Electricity,Energy Use,Activity,,2019,
Electricity1,Electricity,Energy Use,Activity,,2020,
Electricity1,Electricity,Energy Use,Activity,,2021,
Electricity1,Electricity,Energy Use,Activity,,2022,
Electricity1,Electricity,Energy Use,Activity,,2023,
Electricity1,Electricity,Energy Use,Coal,-0.7755736166715151,2000,1082.805
Electricity1,Electricity,Energy Use,Coal,-0.7959823291339143,2000,106887.8
Electricity1,Electricity,Energy Use,Coal,-0.7755736166715151,2001,1109.539
Electricity1,Electricity,Energy Use,Coal,-0.7959823291339143,2001,102741.8
Electricity1,Electricity,Energy Use,Coal,-0.7755736166715151,2002,1138.387
Electricity1,Electricity,Energy Use,Coal,-0.7959823291339143,2002,101754.3
Electricity1,Electricity,Energy Use,Coal,-0.7755736166715151,2003,1118.648
Electricity1,Electricity,Energy Use,Coal,-0.7959823291339143,2003,100826.0
Electricity1,Electricity,Energy Use,Coal,-0.7755736166715151,2004,1046.511
Electricity1,Electricity,Energy Use,Coal,-0.7959823291339143,2004,91791.8
Electricity1,Electricity,Energy Use,Coal,-0.7755736166715151,2005,1062.65301
Electricity1,Electricity,Energy Use,Coal,-0.7959823291339143,2005,94483.0
Electricity1,Electricity,Energy Use,Coal,-0.7755736166715151,2006,1014.523
Electricity1,Electricity,Energy Use,Coal,-0.7959823291339143,2006,87759.0
Electricity1,Electricity,Energy Use,Coal,-0.7755736166715151,2007,1075.46401
Electricity1,Electricity,Energy Use,Coal,-0.7959823291339143,2007,97256.0
